,message_type,original_message
1617,0,Did u download the fring app?
1618,0,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
1619,0,Friends that u can stay on fb chat with
1620,0,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
1621,0,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
1622,1,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
1623,0,"Ah, well that confuses things, doesnÛ÷t it?"
1624,1,500 free text msgs. Just text ok to 80488 and we'll credit your account
1625,0,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
1626,0,Dear how you. Are you ok?
1627,1,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth å£350! To Claim, Call London 02072069400. Bx 526, SW73SS"
1628,0,Yes princess! I want to make you happy...
1629,0,Sounds like you have many talents! would you like to go on a dinner date next week?
1630,0,I am going to film 2day da. At 6pm. Sorry da.
1631,0,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
1632,0,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
1633,0,Yesterday its with me only . Now am going home.
1634,1,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
1635,0,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
1636,0,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
1637,1,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\"""
1638,0,Great comedy..cant stop laughing da:)
1639,1,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
1640,0,"Alright, we're all set here, text the man"
1641,0,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?"
1642,0,Sleeping nt feeling well
1643,0,U WILL SWITCH YOUR FONE ON DAMMIT!!
1644,0,India have to take lead:)
1645,0,I.ll post her out l8r. In class
1646,0,Thts wat Wright Brother did to fly..
1647,0,"Evening * v good if somewhat event laden. Will fill you in, don't you worry Û_ Head * ok but throat * wrecked. See you at six then!"
1648,0,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
1649,0,ITS A LAPTOP TAKE IT WITH YOU.
1650,0,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
1651,0,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
1652,1,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
1653,0,I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? 
1654,0,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
1655,0,At 7 we will go ok na.
1656,0,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
1657,0,S:-)if we have one good partnership going we will take lead:)
1658,1,RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50
1659,0,"Yeah, where's your class at?"
1660,0,No just send to you. Bec you in temple na.
1661,0,"You aren't coming home between class, right? I need to work out and shower!"
1662,1,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL
1663,0,S but mostly not like that.
1664,0,ÌÏ v ma fan...
1665,0,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
1666,0,Guess who spent all last night phasing in and out of the fourth dimension
1667,0,So now my dad is gonna call after he gets out of work and ask all these crazy questions.
1668,0,"Yes..but they said its IT.,"
1669,0,Very hurting n meaningful lines ever: \I compromised everything for my love
1670,0,Lmao!nice 1
1671,0,Glad to see your reply.
1672,1,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
1673,1,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
1674,0,Nah dub but je still buff
1675,0,Painful words- \I thought being Happy was the most toughest thing on Earth... But
1676,0,"Yeah, that's fine! It's å£6 to get in, is that ok? "
1677,0,Lol where do u come up with these ideas?
1678,0,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
1679,0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
1680,0,Okay... We wait ah
1681,0,Y lei?
1682,0,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
1683,0,Already am squatting is the new way of walking
1684,0,Do you want bold 2 or bb torch
1685,0,Cramps stopped. Going back to sleep
1686,1,todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award
1687,1,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
1688,0,Nan sonathaya soladha. Why boss?
1689,0,Bring tat cd don forget
1690,1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone
1691,0,I don't know but I'm raping dudes at poker
1692,0,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
1693,0,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
1694,0,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? 
1695,0,Finish already... Yar they keep saying i mushy... I so embarrassed ok...
1696,0,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
1697,0,Hai priya are you right. What doctor said pa. Where are you.
1698,1,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
1699,0,Ok...
1700,0,Please ask mummy to call father
1701,0,Can come my room but cannot come my house cos my house still messy... Haha...
1702,0,I have lost 10 kilos as of today!
1703,0,Just taste fish curry :-P
1704,0,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
1705,0,Yun ah.now Ì_ wkg where?btw if Ì_ go nus sc. ÌÏ wana specialise in wad?
1706,0,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
1707,0,Was doing my test earlier. I appreciate you. Will call you tomorrow.
1708,0,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
1709,0,U meet other fren dun wan meet me ah... Muz b a guy rite...
1710,0,"(No promises on when though, haven't even gotten dinner yet)"
1711,0,I got your back! Do you have any dislikes in bed?
1712,0,o turns out i had stereo love on mi phone under the unknown album.
1713,1,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
1714,0,Yeah I don't see why not
1715,0,Asking do u knw them or nt? May be ur frnds or classmates?
1716,0,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
1717,1,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
1718,0,"As in missionary hook up, doggy hook up, standing...|"
1719,0,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..
1720,0,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
1721,0,Am watching house ÛÒ very entertaining ÛÒ am getting the whole hugh laurie thing ÛÒ even with the stick ÛÒ indeed especially with the stick.
1722,0,Thought praps you meant another one. Goodo! I'll look tomorrow 
1723,0,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James."
1724,0,There bold 2  &lt;#&gt; . Is that yours
1725,0,You know there is. I shall speak to you in  &lt;#&gt;  minutes then
1726,0,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\"""""
1727,0,I went to project centre
1728,0,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
1729,0,Lol yeah at this point I guess not
1730,0,Doing project w frens lor. 
1731,0,Lol. Well quality aint bad at all so i aint complaining
1732,0,"K, can that happen tonight?"
1733,1,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else...."
1734,0,"I think we're going to finn's now, come"
1735,0,Why tired what special there you had
1736,0,I will come tomorrow di
1737,0,I cant pick the phone right now. Pls send a message
1738,0,K go and sleep well. Take rest:-).
1739,0,U guys never invite me anywhere :(
1740,1,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117
1741,0,I can do that! I want to please you both inside and outside the bedroom...
1742,0,"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\"""""
1743,0,I love to wine and dine my lady!
1744,1,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
1745,0,"IåÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x."
1746,0,I don know account details..i will ask my mom and send you.my mom is out of reach now.
1747,0,I think u have the wrong number.
1748,0,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
1749,0,DO NOT B LATE LOVE MUM
1750,0,Got it..mail panren paru..
1751,0,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
1752,0,Give one miss from that number please
1753,0,Jus came back fr lunch wif my sis only. U leh?
1754,0,How is your schedule next week? I am out of town this weekend.
1755,0,Really good:)dhanush rocks once again:)
1756,0,Lmao ok I wont be needing u to do my hair anymore.
1757,0,"Miss ya, need ya, want ya, love ya."
1758,0,Sorry i'm not free...
1759,0,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
1760,0,Nt yet chikku..simple habba..hw abt u?
1761,0,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
1762,0,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
1763,0,Joy's father is John. Then John is the NAME of Joy's father. Mandan
1764,1,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
1765,0,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
1766,1,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
1767,0,"K, want us to come by now?"
1768,0,How. Its a little difficult but its a simple way to enter this place
1769,0,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
1770,0,Dont show yourself. How far. Put new pictures up on facebook.
1771,0,Watching tv now. I got new job :)
1772,0,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
1773,0,"I'm not coming over, do whatever you want"
1774,0,"Its ok chikku, and its my 1 of favourite song..:-)"
1775,0,Did u see what I posted on your Facebook?
1776,1,Call FREEPHONE 0800 542 0578 now!
1777,1,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
1778,0,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
1779,1,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
1780,1,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
1781,0,";-( oh well, c u later"
1782,0,My uncles in Atlanta. Wish you guys a great semester.
1783,0,No dear i do have free messages without any recharge. Hi hi hi
1784,0,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
1785,0,I dun believe u. I thk u told him.
1786,0,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
1787,0,Yes:)sura in sun tv.:)lol.
1788,0,Arun can u transfr me d amt
1789,0,Takin a shower now but yeah I'll leave when I'm done
1790,0,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
1791,0,U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u
1792,1,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
1793,0,You bad girl. I can still remember them
1794,0,How much i gave to you. Morning.
1795,0,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
1796,0,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone"
1797,0,Can i get your opinion on something first?
1798,0,That one week leave i put know that time. Why.
1799,0,"If we hit it off, you can move in with me :)"
1800,0,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
1801,0,I wanna watch that movie
1802,0,Ok lor thanx... ÌÏ in school?
1803,0,I'm in class. Did you get my text.
1804,0,The bus leaves at  &lt;#&gt; 
1805,0,God bless.get good sleep my dear...i will pray!
1806,1,Todays Voda numbers ending 1225 are selected to receive a å£50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app 
1807,0,Do have a nice day today. I love you so dearly.
1808,0,Aiyo a bit pai seh Ì_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
1809,0,"Aight, I'll ask a few of my roommates"
1810,0,"Now, whats your house # again ? And do you have any beer there ?"
1811,0,Do Ì_ all wan 2 meet up n combine all the parts? How's da rest of da project going?
1812,0,"\Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\"""""
1813,0,Yes we are chatting too.
1814,0,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
1815,0,Sian... Aft meeting supervisor got work 2 do liao... U working now?
1816,0,Are you going to write ccna exam this week??
1817,0,Well i will watch shrek in 3D!!B)
1818,0,Am i that much dirty fellow?
1819,0,Dunno dat's wat he told me. Ok lor...
1820,0,I'll probably be by tomorrow (or even later tonight if something's going on)
1821,0,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night
1822,0,If you're thinking of lifting me one then no.
1823,0,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?
1824,0,Sent me ur email id soon
1825,0,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
1826,0,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done."
1827,0,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.
1828,0,May i call You later Pls
1829,1,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
1830,0,That's the way you should stay oh.
1831,0,Hello- thanx for taking that call. I got a job! Starts on monday!
1832,0,What time is ur flight tmr?
1833,0,When should I come over?
1834,0,I have a rather prominent bite mark on my right cheek
1835,0,* Will be september by then!
1836,0,Are you wet right now?
1837,0,And how's your husband.
1838,1,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx"
1839,0,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
1840,0,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
1841,0,I am in your office na.
1842,0,"\Are you comingdown later?\"""""
1843,0,Super da:)good replacement for murali
1844,0,Da is good good player.why he is unsold.
1845,0,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.
1846,0,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
1847,1,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
1848,0,I dont want to hear philosophy. Just say what happen
1849,0,You got job in wipro:)you will get every thing in life in 2 or 3 years.
1850,0,Then cant get da laptop? My matric card wif Ì_ lei... 
1851,0,Dunno da next show aft 6 is 850. Toa payoh got 650.
1852,1,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate "
1853,0,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
1854,0,They did't play one day last year know even though they have very good team.. Like india.
1855,0,K.:)you are the only girl waiting in reception ah?
1856,0,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
1857,0,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.
1858,0,"Sir, i am waiting for your call."
1859,0,What's up. Do you want me to come online?
1860,0,"It could work, we'll reach a consensus at the next meeting"
1861,0,Aiyah then i wait lor. Then u entertain me. Hee...
1862,0,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed."
1863,0,I'll let you know when it kicks in
1864,0,You call him now ok i said call him
1865,0,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.
1866,0,Or Ì_ go buy wif him then i meet Ì_ later can?
1867,0,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*
1868,0,Today my system sh get ready.all is well and i am also in the deep well
1869,0,Mom wants to know where you at
1870,0,"Aight, I'll text you when I'm back"
1871,0,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
1872,0,Oh ok i didnt know what you meant. Yep i am baby jontin
1873,1,You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on
1874,1,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!
1875,1,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
1876,0,Watching tv now. I got new job :)
1877,0,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! 
1878,0,I AM AT A PARTY WITH ALEX NICHOLS
1879,1,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
1880,0,Just seeing your missed call my dear brother. Do have a gr8 day.
1881,0,Ok.. ÌÏ finishing soon?
1882,0,"Sorry, I can't help you on this."
1883,0,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
1884,0,I love your ass! Do you enjoy doggy style? :)
1885,0,I think asking for a gym is the excuse for lazy people. I jog.
1886,1,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs 
1887,1,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or å£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm
1888,0,No. On the way home. So if not for the long dry spell the season would have been over
1889,0,I gotta collect da car at 6 lei.
1890,0,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
1891,0,Probably earlier than that if the station's where I think it is
1892,1,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
1893,0,Good Morning plz call me sir
1894,1,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
1895,0,"Uh, heads up we don't have THAT much left"
1896,0,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
1897,0,"Aight, sounds good. When do you want me to come down?"
1898,0,Wat would u like 4 ur birthday?
1899,0,I love working from home :)
1900,0,And miss vday the parachute and double coins??? U must not know me very well...
1901,0,"Sorry, I'll call later"
1902,0,My sister got placed in birla soft da:-)
1903,1,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
1904,0,Wah... Okie okie... Muz make use of e unlimited... Haha... 
1905,0,"There're some people by mu, I'm at the table by lambda"
1906,0,And stop being an old man. You get to build snowman snow angels and snowball fights.
1907,0,ELLO BABE U OK?
1908,0,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u 
1909,0,Then u going ikea str aft dat?
1910,0,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
1911,0,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
1912,0,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
1913,0,You want to go? 
1914,1,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl
1915,0,Its not that time of the month nor mid of the time?
1916,0,Fffff. Can you text kadeem or are you too far gone
1917,0,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
1918,0,Is fujitsu s series lifebook good?
1919,0,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
1920,0,Dont know you bring some food
1921,0,No current and food here. I am alone also
1922,0,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...
1923,0,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?
1924,0,Ok
1925,0,We don call like  &lt;#&gt;  times oh. No give us hypertension oh.
1926,0,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
1927,0,Omg it could snow here tonite!
1928,1,Call from 08702490080 - tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
1929,1,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
1930,0,Carry on not disturbing both of you
1931,0,What pa tell me.. I went to bath:-)
1932,0,Jus finished avatar nigro
1933,0,R u over scratching it?
1934,0,Hope you are having a great day.
1935,0,Did either of you have any idea's? Do you know of anyplaces doing something?
1936,0,My planning usually stops at \find hella weed
1937,0,The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do
1938,0,Excellent! Are you ready to moan and scream in ecstasy?
1939,1,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. Aå£1.50 minAPN LS278BB
1940,0,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
1941,1,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
1942,0,K...k:)why cant you come here and search job:)
1943,0,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
1944,0,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
1945,0,Can Ì_ call me at 10:10 to make sure dat i've woken up...
1946,0,Hey we can go jazz power yoga hip hop kb and yogasana 
1947,0,The battery is for mr adewale my uncle. Aka Egbon
1948,0,I cant pick the phone right now. Pls send a message
1949,0,Wait 2 min..stand at bus stop
1950,0,Oh ic. I thought you meant mary jane.
1951,0,Haha... Really oh no... How? Then will they deduct your lesson tmr?
1952,0,Nah im goin 2 the wrks with j wot bout u?
1953,0,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
1954,0,Good night. Am going to sleep.
1955,0,"Aight I'll grab something to eat too, text me when you're back at mu"
1956,0,K...k:)why cant you come here and search job:)
1957,0,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
1958,0,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite"
1959,0,Howz that persons story
1960,1,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18
1961,0,LOL that would be awesome payback.
1962,1,it to 80488. Your 500 free text messages are valid until 31 December 2005.
1963,0,Yes :)it completely in out of form:)clark also utter waste.
1964,0,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
1965,0,Thanks. It was only from tescos but quite nice. All gone now. Speak soon 
1966,0,What's a feathery bowa? Is that something guys have that I don't know about?
1967,0,Even i cant close my eyes you are in me our vava playing umma :-D
1968,0,2 laptop... I noe infra but too slow lar... I wan fast one
1969,1,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
1970,0,Nvm it's ok...
1971,0,Enjoy ur life. . Good night
1972,0,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march Û_ ish!
1973,0,I had askd u a question some hours before. Its answer
1974,0,Thats cool. Where should i cum? On you or in you? :)
1975,0,Delhi and chennai still silent.
1976,0,Lol alright i was thinkin that too haha
